en	hi	pos
heroism	वीरता	N
heron	बगुला	N
herpes	एक प्रकार का चर्म रोग	N
herring	हिलसा मछली	N
herring-bone	नीचे ऊपर की सिलाई	Adj
herring gull	उत्तरी अटलान्टिक मुर्गाबी	N
herself	वह स्वयं[स्त्री]	Pron
hertz	रेडियो में एक विद्युत तरंग	N
hesitant	संकोची	Adj
hesitancy	संकोच	N
hesitation	हिचकिचाहट	N
hessian	टाट	N
hetero-	विषम	Pref
heterodox	शास्त्र विरुध्द	Adj
hetrodoxy	रूढी विरोध	N
heterogeneous	विजातीय	Adj
heterogeneity	विजातीयता.	N
heterosexual	विपरीत लिंग कामी	Adj
heterosexuality	विषम लिंग कामुकता	N
heuristic	स्वत: शोध करके सीखने से संबंधित.	Adj
heuristics	अनुभव पर आधारित	N
hew	कुल्हाडी से काटना	V
hex	षट्	Comb form
hexagon	षट्भुज	N
hexagonal	षट्कोणीय.	Adj
hexameter	षट्पदी	N
hey	अरे; ए	Interj
heyday	चरम समृध्दि की अवस्था	N
hiatus	अन्तराल	N
hibernate	सुस्ती में जाड़ा बिताना	V
hibernation	सुस्त	N
hibiscus	जवाकुसुम	N
hiccup	हिचकी आना	V
hiccough	हिचकी	N
hickory	अमरीकी वृक्ष	N
hide	गुप्त रखना	V
hide	जानवर की खाल	N
hidden agenda	गुप्त कार्यावली	N
hide-and-seek	बच्चों का खेल	IDM
hide-out	छिपने की जगह	N
hideaway	छिपने की जगह	N
hidebound	संकीर्ण विचारों वाला	Adj
hideous	डरावना	Adj
hideously	विकरालता से	Adv
hiding	गोपनीय	N
hiding-place	छिपने की जगह	N
hierarchy	पदानुक्रम	N
hierarchical	शासक पुरिहित वर्ग	Adj
hieroglyph	चित्रलिपि	N
hieroglyphics	चित्रलिपि से संबंधित	N
hi-fi	अविकृत ध्वनि उत्पन्न करने वाला	Adj
hi-fi	ध्वनि उत्पादक यन्त्र	N
higgledy-piggledy	अस्त-व्यस्त रूप से	Adv
high	पद में ऊँचा	Adj
high-born	उच्च कुल का	Adj
high-chair	बच्चों को खिलाने की ऊँची कुर्सी	N
high-church	इंगलैंड का गिरजाघर जो रीति; बिशप; आदि पर जोर देता है	Adj
high-class	उच्च जाति का	Adj
high-commission	उच्चायोग	N
high-commissioner	उच्चायुक्त	N
high court	उच्च न्यायालय	N
higher education	उच्च स्तरीय शिक्षा	N
high explosive	शक्तिशाली विस्फोटक	N
high flown	उच्च शैली[भाषा की]	Adj
high flyer	सफलता प्राप्ति की इच्छा	N
high flying	ऊँची उड़ान भरना	Adj
high grade	उत्कृष्ट.	Adj
high handed	स्वेच्छाचारी	Adj
high jinks	हँसी मजाक	N
high level	उच्चस्तरीय.	Adj
the high life	रईसी जीवन	N
high-minded	मनस्वी	Adj
high-pitched	ऊँचा[आवाज]	Adj
high point	उच्च स्थिति	N
high powered	उच्च अधिकार संपन्न	Adj
high pressure	अधिक दबाव	N
high ranking	उच्च पदस्थ	Adj
high rise	अट्टालिका	Adj
high road	मुख्य मार्ग	N
high school	उच्च विद्यालय	N
high seas	महासागर	N
high season	व्यस्त समय	N
high sounding	आडम्बरी	Adj
high speed	तीव्र गति	Adj
high spirited	साहसी	Adj
high spot	घटना का विशष्ट अंग	N
high street	मुख्य मार्ग	N
high strung	अतिसंवेदनशील	Adj
high table	उच्च मंच का मेज़	N
high tea	मध्याह्न के अंत व शाम के पहले चाय लेना	N
high- tech	उच्च प्रौद्योगिकीय	Adj
high technology	उच्च प्रौद्योगिकी	N
high tide	उच्च ज्वार	N
high treason	देशद्रोह या राजद्रोह का अपराध	N
high up	उच्च स्थान पर आसीन व्यक्ति	N
high water	पानी की ऊँची सतह	N
high wire	उच्च स्थान का मजबूत रस्सी	N
high	ऊँचा स्थान	N
high	ऊँचाई पर	Adv
highball	तेज शराब	N
highboy	ऊँचा[कद]लडका	N
highbrow	कोविद	Adj
highfalutin	आडम्बरी	Adj
highland	उच्च भूमि	Adj
highland	पर्वतीय भूभाग	N
highlander	स्काटलैंड का	N
highland fling	स्काटलैमड का नृत्य	N
highlights	झलकियाँ	N
highlighter	शब्दों पर जोर व अंकित करने का कलम	N
highly	अत्यधिक ऊँचा	Adv
highness	राजघराने की उपाधि	N
highway	प्रमुख मार्ग	N
highwayman	बटमार	N
hijack	अपहरण करना	V
hijacker	अपहरणकर्ता	N
hijacking	अपहरण	N
hike	पैदल लंबी यात्रा	N
hike	पाद यात्रा करना	V
hiker	पैदल-यात्री	N
hiking	पैदल लंबी यात्रा	N
hilarious	हर्ष-भरा	Adj
hilariously	प्रसन्नता से	Adv
hilarity	हर्षोल्लास	N
hill	छोटी पहाड़ी	N
hilly	पर्वतीय	Adj
hillock	टीला	N
hillside	पहाडी की ढाल	N
hilltop	पहाड़ी की चोटी	N
hilt	कटार या तलवार की मूठ.	N
him	उसको	Pron
himself	स्वयं	Pron
hind	पिछला	Adj
hind	हिरनी	N
hinder	बाधा डालना	V
hindi	हिन्दी	N
hindmost	सबसे पीछेवाली	Adj
hindquarters	पशु की पिछली टाँगों व पुट्ठे का मांस	N
hindrance	अवरोध	N
hindsight	पश्चदृष्टि	N
hindu	भारतीय	N
hinduism	हिन्दुत्व	N
hinge	कब्जा	N
hinge	कब्जे पर घूमना; निर्भर रहना.	V
hint	संकेत{परोक्ष}	N
hint	संकेत देना	V
hinterland	समुद्र या नदी तट के पीछे का प्रदेश	N
hip	नितम्ब; कूल्हा	N
hipped	उत्साह हीन बनाना.भारी कुल्हे वाला	Adj
hip-bath	कटि स्नान	N
hip-flask	शराब की बोतल जो पेंट के पिछले जेब मैं रख ली जाय	N
hip-pocket	पेंट की पिछले जेब.	N
hip	जंगली गुलाब का लाल फल	N
hip	3 प्रसन्नता प्रगट करने वाले शब्द.	N
hip	4 एक दम नई फेशन या संगीत का जानकार; दक्ष	N
hip-hop	?	N
hippie	हिप्पी लोग लम्बे बाल वाले	N
hippo	दरियाई घोड़ा	N
hippopotamus	दरियाई घोड़ा	N
hire	मजदूरी पर रखना; किराये पर लेना	V
hire	किराया; भाड़ा	N
hire hand	?	N
hire purchase	किश्तों पर खरीदना	N
hireling	किराये का टट्टू{पैसा लेकर काम करने वाला}	N
hirsute	रोंयेंदार बालदार	N
his	उसका	Pron
hispanic	स्पेन का	N
hiss	सिसकारना; फुफकारना	V
hiss	सिसकारी; फुफकारी	N
histamine	?	N
historian	इतिहासकार	N
historic	इतिहास- प्रसिध्द	Adj
historical	ऐतिहासिक	Adj
history	इतिहास	N
histrionic	अभिनेताओं का; अभिनय का	Adj
histrionically	?	Adv
hit	प्रहार करना	V
hitter	ताकत से मारने वाला	N
hit-and-miss	मशीन के सभी अंगों का पूर्ण रूप से कामकरना और कभी नहीं करना	Adj
hit-and-run	किसी वाहन द्वारा किसी को चोट मार कर भाग जाना	Adj
hit list	ऐसे व्यक्तियों की सूची जिनकी हत्या की जानी है	N
hit man	पैसे लेकर हत्या करने वाला.पेशेवर हत्यारा	N
hit	आघात; सफल	N
hit parade	अभी के गानों की सबसे अधिक बिकने वालों की सूची	N
hitch	झटके से ऊपर खींचना; बाँधना.हचके मारते हुए चलना	V
hitch	झटका; धक्का; अटकाव	N
hitchhike	दूसरे के वाहन पर मुफ्त सैर करना	V
hi-tech	उच्च प्रोद्यौगिकी	Adj
hither	इस तरफ	Adv
hitherto	अब तक	Adv
hiv	?	N
hive	मधुमक्खियों का छत्ता	N
hoard	खजाना गुप्त धन	N
hoarding	सड़क किनारे लगे विज्ञापन पट	N
hoar-frost	घास पर जमी ओस	N
hoarse	कर्कश	Adj
hoarsely	रूखे स्वरसे	Adv
hoarseness	आवाज़ का फटापन	N
hoary	पुरातन	Adj
hoax	झाँसा	N
hoax	मजाक के तौर पर झाँसा देना	V
hobble	लंगड़ा कर चलना	V
hobby	अभिरुचि	N
hobby-horse	प्रिय विषय	N
hobgoblin	वैताल	N
hobnail boot	चौड़े मत्थे वाली छोटी कील लगे बूट.	N
hobnob	मेलजोल रखना	V
hobo	एक स्थान से दूसरे स्थान पर मजदूरी करने वाला मजदूर	N
hobson's choice	जो कुछ मिले लेना नहीं तो कुछ नहीं लेना.	N
hock	जानवरों के पिछले पैर का जोड़	N
hock	गिरवी रखना	V
hockey	हाकी; एक प्रकार का खेल	N
hockey stick	हाकी खेलने की छड़ी	N
hocus-pocus	जादू मन्तर	N
hod	ईंट ढोने का हत्थेदार बक्स	N
hodgepodge	गड़बड़	N
hoe	कुदाल	N
hog	सुअर	N
hogmanay	वर्ष का अंतिम मनाये जाने वाला दिन	N
hogwash	बेमतलब की बात	N
hoick	ऊपर की ओर उठाना	V
hoi polloi	जन साधारण लोग	N
hoist	ऊपर उठाना	V
hoity-toity	अभिमानी	Adj
hokum	बकवास	N
hold	मजबूती से पकड़ना	V
hold-up	जबरन रोकना	N
hold	पकड़	N
holdall	बिस्तरबंद	N
holder	धारक	N
holding	अधिसंपत्ति	N
holding company	कम्पनी जो शेयर को अपने नियन्त्रण में रखती है	N
holding operation	s	N
hole	छेद	N
hole	छेद बनाना	V
holiday	अवकाश का दिन	N
holiday camp	अवकाश शिविर	N
holiday centre	अवकाश केन्द्र	N
holiday-maker	सैलानी	N
holiness	पवित्रता	N
holistic	पवित्र	Adj
holler	जोर से चिल्लाना	V
hollow	खोखला	Adj
hollowly	दिखावटी	Adv
hollowness	ढोंग	N
holly	एक प्रकार का सदाबहार वृक्ष	N
hollyhock	एक ऊँचा फूल का पौधा	N
holocaust	सर्वनाश	N
hologram	त्रिविमीय फोटोग्राफ की प्रतिनिधित्व	N
holster	पिस्तौल का चमड़े का खोल	N
holy	पवित्र	Adj
the holy city	पवित्र माना गया नगर	N
holy communion	पवित्र विचारों का आदान-प्रदान	N
holy father	पोप	N
holy ghost	दिव्य आत्मा	N
holygrail	अंतिम भोजन के समय येशु द्वारा प्रयुक्त प्याला	N
holy land	फिलस्तीन	N
holy of holies	यहूदियों के मंदिर का सबसे भीतर का भाग	N
holy orders	पुरोहताभिषेक	N
holy spirit	पवित्र आत्मा	N
holy/week	इस्टर रविवार के पहले का सप्ताह	N
holywrit	बाइबिल	N
homage	श्रद्दांजलि	N
home	घर	N
homeless	घरहीन	N
homeless	बेघर का	Adj
homelessness	घरविहीनता	N
homeward	घर की ओर	Adj
home economics	गृह प्रबंध की पढाई	N
home-grown	घर में उपज किया हुआ	Adj
homehelp	घर के काम में मदद करने वाला	N
home-made	स्वदेशी	Adj
home office	गृहमंत्रालय का कार्यालय.	N
home rule	सुराज्य	N
home secretary	गृहसचिव	N
home truth	कटुसत्य	N
home	घरेलू	Adj
home	3परिवार में	Adv
home	घर लौटना	V
homeland	स्वदेश	N
homely	सीधा-सादा	Adj
homeopathy	होमियोपैथी चिकित्सा	N
homeopath	होमियोपैथ चिकित्सक	N
homeopathic	होमियोपैथ की	Adj
homesickness	गृहवियोग	N
homespun	घर का बुना	Adj
homestead	कृषि फार्म	N
homesteader	?	N
homework	गृहकार्य	N
homey	घरजैसा सुखद आरामदेह	Adj
homicide	नरहत्या	N
homicidal	आत्मघाती	Adj
homily	धर्म उपदेश	N
homing	लक्ष्यभेदी मिसाइल	Adj
homogeneous	सजातीय	Adj
homogeneity	सजातीयता	N
homogenized	एकरूप करना	Adj
homograph	समानवर्तनी शब्द जिनके अर्थ भिन्न हो	N
homophone	समध्वनिक शब्द	N
homo sapiens	प्रजाति	N
homosexual	समलिंगकामी	N
hone	पैना करना	V
honest	निष्कपट	Adj
honestly	ईमानदारी से	Adv
honest broker	झगड़ों में मध्यस्थता करने वाला	N
honesty	ईमानदारी	N
honey	शहद	N
honeycomb	छत्ता	N
honeydew melon	खरबूजा	N
honeymoon	मधुमास	N
honk	हंस के काँव काँव करने की आवाज	N
honk	भौंपू बजाना	V
honky-tonk	एक तरह का प्यानो से बजी जाज़ संगीत	N
honor	सम्मान	N
honorable	सम्मान-योग्य	Adj
honorarium	मानदेय	N
honorary	अवेतनिक	Adj
honorific	सम्मानप्रद	Adv
honour	मान सम्मान	N
honour	सम्मान करना	V
honourable	माननीय; सम्माननीय	Adj
honourably	आदरपूर्वक; मानपूर्वक	Adv
hooch	अवैध शराब	N
hood	सिर गर्दन ढकने के लिये टोपी या चोगा	N
hooded	ढकना लगा हुआ	Adj
hoodlum	गुण्डा	N
hoodoo	अपशकुन	N
hoodwink	चालाकी करना	V
hooey	बेमतलब की बात	N
hoof	खुर.	N
hook	कुन्दा	N
hook	काँटे से पकड़ना; गेंद मारने की एक विधि	V
hooked	अंकुशाकार	Adj
hook up	एक ही कार्यक्रम प्रसारित करनेवाले सभी केंद्रों से जुडाव	N
hookah	हुक्का	N
hooker	वैश्या	N
hookworm	अंकुशकृमि	N
hooligan	गेंगस्टर	N
hooliganism	गुंडागर्दी	N
hoop-la	चक्राकार वस्तु का खेल	N
hooray	वाह!	Interj
hoot	शौरगुल	N
hoot	चिल्लाकर भगाना	V
hoover	वेक्यूम क्लीनर	N
hoover	वेक्यूम क्लीन करना	V
hoove	खुर[बहु]	N
hop	एक पैर से कूदना	V
hope	आशा	N
hope	आशा करना	V
hoped-for	वांछित व संभव	Adj
hopeful	आशापूर्ण	Adj
hopeful	आशावान	N
hopefully	आशा से	Adv
hopefulness	आशापूर्णता	N
hopeless	निराश	Adj
hopelessly	निराशा से	Adv
hopelessness	निराशा	N
hopper	अनाज या कोयला खाली करने का स्थान	N
hopscotch	कूदने का बच्चों का खेल	N
horde	भीड़	N
horizontal	समतल क्षितिज के समानंतर	Adj
horizontally	क्षैतिज स्थिति में.	Adv
hormone	अंदरही अंदर खून में मिल कर उत्तेजना पैदा करने वाला तत्व	N
hormonal	हार्मोनल	Adj
horn	सींग	N
horn-rimmed	सींग से बना चश्मे का फ्रेम	Adj
hornet	तेज डंक मारने वाला भिंड	N
hornpipe	नाविकों से संबन्धित एक प्रकार का नृत्य	N
horoscope	जन्मकुंडली	N
horrendous	भयंकर	Adj
horrendously	भयंकरता से	Adv
horrible	डरावना	Adj
horribly	भयंकर रूपसे	Adv
horrid	जघन्य	Adj
horrific	रोमांचकारी	Adj
horrifically	रोमांचकारी ढंग से	Adv
horrify	आतंकित करना	V
horrifying	भयानक	Adj
horrifyingly	भयविह्वलता से	Adv
horror	भय{बीभत्सतालियेहुए}	N
horrors	बापरे!	Interj
horror-struck	बहुत डरा हुआ	Adj
horror-stricken	भयभीत	Adj
hors-d'oeuvre	भोजन से पहले लिया जानेवाला ठंडा भौजन	N
horse	घोड़ा	N
horse chestnut	बन खौर	N
horse-drawn	घोडों से खींचा हुआ	Adj
horse race	घुड़दौड़	N
horse racing	घुडदौडबाज़ी	N
horse sense	सामान्य बुद्धि	N
horse trading	खरीद फरौक्त	N
horseback	घोड़े पर सवार	N
horseback	घोडे का सवार	Adv
horsebox	घोड़े को एक जगह से दूसरी जगह ले जाने का डिब्बा.	N
horseflesh	घोड़े का माँस खाने हेतु.	N
horsefly	घुडमक्खी	N
horsehair	घोड़े के बाल	N
horseman	घुड़सवार	N
horsewoman	घुड़ सवारी करने वाली औरत	N
horsemanship	घुड़ सवारी की कला	N
horseplay	धमाचौकडी	N
horsepower	अश्वशक्ति	N
horseradish	एक कन्द-मूल पौधा जिससे ठंडा सॉस बनता है	N
horseshoe	घोड़े की नाल	N
horsewhip	चाबुक	N
horsy	घोड़े से मिलता जुलता	Adj
horticulture	बागवानी	Adj
horticulturist	उद्यान विशेषज्ञ	N
hose	रबड़ या प्लास्टिक की नली	N
hosepipe	रबड़ का मुड़ने वाला पाइप रेल डिब्बों का वेक्यूम पाइप	N
hosiery	मौजा बनियान गंजी आदि	N
hospice	धर्मशाला	N
hospitable	सत्कार करने वाला	Adj
hospitably	आदर सहित	Adv
hospital	चिकित्सालय	N
hospitalize	अस्पताल में भर्ती करना	V
hospitalization	अस्पताल की भरती	N
hospitality	आतिथ्य	N
host	धिक संख्या	N
host	मेजबान; किसी आयोजन का सूत्रधार	N
hostage	बंधक व्यक्ति	N
hostel	छात्रावास	N
hostelery	सराय	N
hostess	परिचारिका	N
hostile	शत्रुतापूर्ण	Adj
hostility	दुश्मनी	N
hot	गरम	Adj
hotly	गुस्से से	Adv
hot air	अफवाह	N
hot air baloon	गुब्बारा	N
hot-blooded	उत्तेजनशील	Adj
hot cake	गरम चपाती	N
hot cross bun	गोल केक जो गुडफ्राइडे के दिन खाते हैं	N
hot dog	गरम कबाब	N
hot favourite	दौड को जीतने वाला प्रतियोगी	N
hot flush	रजोनिवृत्ति में महिलाओं को उष्णता महसूस करना	N
hot line	सीधी संचार व्यवस्था	N
hot potato	विषम परिस्थिति.	N
hot property	?	N
hot seat	दायित्वपूर्ण पद	N
hot spot	राजनीतिक संकट आने का स्थान	N
hot spring	गरम पानी का सोता	N
hot stuff	प्रतिभाशाली	N
hot tempered	गरम मिजाजी	N
hot water bottle	गरम पानी का आधान	N
hotbed	बुराई के पनपने का अड्डा	N
hotchpotch	गड़बड़	N
hotel	होटल; किराये का विश्राम स्थल.	N
hotelier	होटल चलाने वाला	N
hotfoot	जल्दी-जल्दी	Adv
hothead	उतावला	N
hothouse	शीशे की पौधशाला	N
hotplate	चूल्हा	N
hotpot	अंगीठी में मासँ व शाक को धीरे सिझाना	N
hotshot	सफल व्यक्ति	N
hound	शिकारीकुत्ता	N
hound	पीछे पड़ना	V
hour	घंटा	N
hourly	हर घंटे बाद	Adv
hour hand	घड़ी में घंटा बजाने वाली सुई	N
hourglass	रेत की घड़ी	N
house	घर	N
houseful	पूरा भरा हुआ	N
house arrest	नजर बंदी	N
house husband	घर का संचालन करने वाला व्यक्ति	N
house of commons	निचला सदन	N
house of god	गिरजाघर	N
house of lords	ब्रिटेन का उच्च सदन	N
house of representatives	अमेरिका के चुने हुए सभा के प्रतिनिधि	N
house party	पार्टी जिसमें मेहमान थोडे दिन ठहरते हैं	N
house plant	घर के अंदर उगाया जाने वाला छोटा पौधा	N
house proud	घर की मर्यादा	Adj
house of parliament	संसद भवन	N
house-sit	मकान मालिक की अनुपस्थिति में किराये विना रहना	N
house sitter	मकान मालिक की अनुपस्थिति में मकान की रखवाली करने वाला	N
house to house	घर घर बुलाना	Adj
house trained	सिखाया हुआ[जानवरों को]	Adj
house warming	गृह प्रवेश का पार्टी	N
house	घरमें ठहराना	V
houseboat	शिकारा	N
housebound	घर के अंदर ही बना रहने वाला.	Adj
housebreaking	मकान में सेंध लगाना	N
housebroken	घर का पालतु पशु	Adj
household	घर के सभी लोग	N
householdname	जाना पहचाना नाम	N
householder	घर का मालिक	N
housekeeper	गृहप्रबंधक	N
housekeeping	गृह व्यवस्था	N
housemaid	घरेलु काम करने वाली नौकरानी	N
houseman	किसी अस्पताल का कनिष्ठ डाक्टर	N
housemaster	विद्यालय में छात्रों का व्यवस्थापक	N
housetops	मकान की छत से प्रचार करना	N
housewife	घर की संचालिका	N
housework	घरेलु काम काज	N
housing	घर	N
housing association	कम मूल्य में घर को उपलब्ध करने वाली संस्था	N
house benefit	वास-सुविधा देने वाली स्थानीय कौंसिल	N
house estate	नियोजित घर	N
hove	heave जोर लगाकर उठाना	V
hover	हवा में एक ही जगह चक्कर काटना	V
hovercraft	भूमि व जल में जेट इंजन द्वारा चलने वाली वाहन	N
how	कैसे	Adv
however	फिरभी	Adv
howitzer	एक प्रकारकी छोटी बन्दूक	N
howl	जोर से चीखना	V
howler	बड़ी भारी गलती	N
howling	महान सफलता	Adj
hp	अश्वशक्ति[इंजन की]	N
hub	चक्रनाभि	N
hub cap	हबकैप	N
hubbub	शोरगुल	N
hubby	पति	N
hubris	दर्प	N
huckster	फेरीवाला	N
huddle	भीड़ लगाना	N
huddled	छल्लेदार	Adj
hue	विविध रंग	N
huff	क्रुद्ध हो जाना	V
huff	झुंझलाहट	N
huffy	झुंझलाया हुआ	Adj
hug	सीने से लगाना	V
hug	आलिंगन	N
hulk	टूटा हुआ पुराना जहाज	N
hulking	स्थूलकाय	Adj
hull	हाज का ढाँचा	N
hull	छिलका उतारना	V
hullabaloo	कोलाहल	N
hum	गुनगुनाना	V
hum	गुंजन	N
human	मानवीय	Adj
human error	मानवीय भूल	N
human	मानव	N
humankind	मनुष्य मात्र	N
humanly	मानवीयतौर पर	Adv
human being	मानव	N
human interest	मानव की अभिरुचि	N
human race	मानव जाति	N
human rights	हरएक मनुष्य के मूलभूत अधिकार	N
humane	दयालु	Adj
humanely	मानवीयता से	Adv
humannism	मानवतावाद	N
humanist	मानवता का	Adj
humanitarian	परोपकारी	N
humanitarianism	परोपकारवाद	N
humanity	मानवजाति	N
humanize-ise	सभ्य बनना.	V
humanoid	शक्ल में मानव जैसा	Adj
humanoid	मानव जैसा प्राणी.	N
humble	नम्र; विनीत; सीधा सादा	Adj
humble	नीचादिखाना	V
humbly	विनय पूर्वक	Adj
humbug	धोखेबाज	N
humdinger	श्रेष्ठ व्यक्ति या वस्तु	N
humdrum	नीरस	Adj
humerus	पगंडिका	N
humid	नम	Adj
humidifier	वायु को नम रखनेवाला उपकरण	N
humidity	नमी	N
humiliate	नीचा दिखाना	V
humiliation	अवमानना	N
hummock	पहाड़ी टीला	N
humorous	विनोदी	Adj
humorously	विनोद से	Adv
humour	हास्यवृत्ति	N
humourless	?	Adj
hump	मिट्टी का टीला	N
hump	कूबड़ उठाना; प्रयास करना	V
humped	कुबडा	Adj
humpback bridge	ऊपर नीचे आने वाली मेहराब जैसा छोटा पुल	N
humus	खाद मिट्टी	N
hunch	अंतर्ज्ञान	N
hunch	झुकाना	V
hunched	झुकाया	Adj
hunchback	कुबड़ा	N
hundred	सौ; शत	N
hundreds	सैंकड़ों	N
hundredth	सौंवाँ	N
hundred weight	0पौंड{तौल की अमेरिकी इकाई}	N
hung	टँगा	Adj
hung over	?	Adj
hunger	भूख	N
hunger march	बेरोजगार युवकों द्वारा लोगो कोअपनी परेशानी अवगत कराने हेतु यात्रा	N
hunger marcher	अनशन यात्रा	N
hunger strike	भूख हड़ताल	N
hunger striker	भूख हड़ताल करने वाला	N
hungry	भूखा	Adj
hungrily	भूखसे	Adv
hunk	एक बड़ा टुकड़ा जो किसी चीज में से काटा गया हो	N
hunt	शिकार करना	V
hunter	शिकारी	N
hunting	शिकार का खेल	N
hunting ground	स्थान जहाँ वस्तु को खोजा जा रहा हो	N
hunt	आखेट यात्रा	N
huntsman	शिकारी	N
hurdle	फाँद	N
hurdle	बाधा उछल कर पार करना	V
hurdling	बाधा पार करते हुए	N
hurdy gurdy	एक प्रकार का ढोल बाजा	N
hurl	जोर से फेंक कर मारना	V
hurling	एक प्रकार का गेंद का खेल	N
hurly burly	हड़बड़ी	N
hurrah	वाह-वाह; खुशी से चिल्लाना	Interj
hurricane lamp	तूफान	N
hurry	बहुत जल्दबाजी	N
hurry	जल्दी करना	V
hurt	क्षति पहुँचाना	V
hurt	आहत	Adj
hurt	चोट	N
hurtful	दुख:दायी	Adj
hurtfully	चोट पहुँचाते हुए	Adv
hurtle	तड़ तड़ या खड़ खड़ शब्द करते हुए आगे बढ़ना	V
husband	पति	N
husband	मितव्ययता के साथ प्रबंध करना	V
husbandry	कृषिकर्म	N
hush	चुप हो जाना	V
hush	शान्ति	N
hush money	रिश्वत	N
husk	छिलका	N
husk	भूसी निकालना	V
husky	भर्रायी हुई आवाज	Adj
huskily	कर्कश आवाज़ से	Adv
huskiness	भूसापन	N
husky	एस्किमो कुत्ता	N
hussar	हल्का हथियार वाला घुडसवार सैनिक	N
hustings	चुनावपूर्व की राजनैतिक गतिविधियाँ	N
hustle	धक्का देना	V
hut	झोंपड़ी.छोटा घर	N
hutch	खरगोश का पिंजरा	N
i	अंग्रेजी वर्णमाला का नवाँ अक्षर	N
i	मैँ{सर्वनाम}	Pron
-ial	-ईय	Suffix
iambic	लघु-गुरुचरणवाला	Suffix
-ian	प्रत्यय	Suffix
-iana	का	Suffix
ibex	आल्पस पर्वत का ज़ँगली बकरा	N
-ibid	उसी स्थान पर	Adv
ibm	एक बहु राष्ट्रीय कंपनी	N
ibis	सारस के प्रकार का एक पक्षी	N
ice	बरफ़	N
ice-age	बर्फीला युग	N
ice-axe	बर्फ काटने की कुल्हाड़ी	N
ice-blue	हल्का नीला रंग	Adj
ice-blue	हल्का नीला रंग	N
ice-bound	बरफ से ढ़का हुआ	Adj
ice-breaker	बर्फ़ में रास्ता बनाने के लिए बनाया गया जहाज़	N
ice cap	बरफ़ से ढ़का हुआ	N
ice-cold	बहुत बड़ी बर्फ के जैसी ठंड़ी	Adj
ice cream	मलाई बरफ़	N
ice-cube	बर्फ़ के छोटे टुकड़े	N
ice field	बर्फ का बड़ा तैरता हुआ टुकड़ा	N
ice floe	समुद्र में तैरता हुआ बर्फ का टुकड़ा	N
ice hockey	बरफ में खेले जाने वाला खेल	N
ice lolly	बरफ की मिठाई	N
ice pack	बरफ की थैली	N
ice pick	बर्फ को तोड़ने का औज़ार	N
ice rink	एक प्रकार की बर्फीली चादर	N
ice water	बहुत ठंड़ा पानी	N
iceberg	बहता हुआ हिमखण्ड़	N
icebox	बर्फ रखने का डिब्बा	N
icing	केक को सजाने के लिए तैयार किया मिश्रण	N
icon	प्रतिमा; मूर्ति	N
iconoclast	रिवाज़ तोड़नेवाला	N
icy	बरफ से ढ़का हुआ	Adj
id	परिचय	Abbr:identity
id card	परिचय पत्र	Abbr:identity card
idea	विचार; योजना; मत; अनुमान; जानकारी; सुझाव	N
ideal	पूर्ण; अभीष्ट; काल्पनिक; आदर्श	Adj
idealism	आदर्शवाद	N
idealist	आदर्शवादी	N
idealistically	आदर्शरूपमें	Adv
idealization	आदर्शीकरण	N
ideate	कल्पना करना	V
ideation	विचारण	N
identify	पहचानना	V
identification	समीकर	N
identikit	टुकड़ों को जोड़कर बनाई गयी तसवीर	N
identity	पहचान	N
identity crisis	पहचानअभाव	N
ideogram	एक तरह का चिह्न जो किसी भावना का प्रतीक हो	N
ideology	एक सर्वमान्य विचार	N
ideological	आदर्शपूर्ण	Adj
ideologically	आदर्शीकरणता से	Adv
idiocy	पूर्ण अज्ञानता	N
idiolect	He is an idiolect.	N
idiom	मुहावरा	N
idiomatic	मुहावरेदार	Adj
idiosyncrasy	मानसिक घटना या प्रवृत्ति की विशेषावस्था	N
idiosyncratic	विशेष जाती स्वभाव या प्रवृत्ति	Adj
idiot	पागल; मूर्ख	N
idiotic	मूर्ख	Adj
idiotically	मूर्खता से	Adv
idle	व्यर्थ	Adj
idle	कुछ नहीं करना	V
idleness	आलस्य	N
idly	लक्ष्यहीनरूपसे	Adv
idol	प्रतिमा	N
idolater	मूर्ति पूजक	N
idolatrous	प्रतिमाराधक	Adj
idiolatry	मूर्ति पूजा	N
idiolize	पूजा करना	V
if	मानो	Conj
if not	नहीं तो	Conj
if only	अग़र ऐसा	Conj
if so	यदि ऐसा है तो	Conj
iffy	संशयात्मक	Adj
ify	-करना	Suffix
igloo	एस्किमो की झोपड़ी	N
igneous	अग्नि सम्बन्धी	Adj
ignite	सुलग़ना	V
ignition	प्रज्वलन	N
ignoble	नीच	Adj
ignominy	तिरस्कार	N
ignominious	निन्द्य	Adj
ignoramus	मूर्ख	N
ignorance	अज्ञान	N
ignorant	अज्ञानि	Adj
ignore	अवज्ञा करना	V
iguana	गोधा	N
ilk	उसी का	N
ill	अस्वस्थता	N
ill at ease	घबराया हुआ	IDM
ill advised	कुमंत्रित	Adj
ill bread	असभ्य	Adj
ill concealed	ठीकसेनछुपायाहुआ	Adj
ill defined	कुपरिभाषित	Adj
ill fated	अभागा	Adj
ill got	छल या बेईमानि से प्राप्त	Adj
ill judged	नासमझपूर्ण	Adj
ill mannered	बुरा स्वभाव	Adj
ill natured	बुरे_स्वभाववाला	Adj
ill prepared	तैयार न होना	Adj
ill starred	गलतनक्षत्रोंमें	Adj
ill tempered	क्रोधी	Adj
ill treat	दुर्व्यवहार करना	V
