en	hi	pos
affliction	मुसीबत; रोग	N
affluence	समृद्धि	N
affluent	समृद्ध; धनी	Adj
afford	वहनकरपाना; जुटापाना{धन}	V
afforest	जंगललगाना	V
afforestation	वनरोपण	N
affray	दंगा	N
affront	अपमान	N
affront	अपमानितकरना	V
affronted	अपमानित	Adj
afghan	अफगानवासी; अफगानिस्तानीभाषा	N
afghan hound	लंम्बेबालोवालाकुत्ता	N
afield	दूर{घरसे}	Adv
aflame	प्रज्वलित	Adj
afloat	तैरताहुआ; बहताहुआ	Adj
afoot	ज़ारी	Adj
aforementioned	पूर्वोकपै	Adj
afraid	डराहुआ; भयभीत	Adj
afresh	नएसिरेसे	Adj
african	अफ्ररीकीलोग	N
african	अफ्रीकी	Adj
afrikaans	अफ्रीकीभाषा	N
afro	घुघँरालेबाल	Adj
aft	जहाज़केपिछलेभागकेपास	Adv
after	बादमें; पीछे	Adv
after	केबाद; कीओर; केबारेमें; केअनुसरणपर	Prep
after	बादका	Adj
after-care	बादकीदेखभाल	N
after-effect	पश्चप्रभाव	N
after-taste	केबादकाज़ायका	N
afterbirth	जेर; खेड़ी	N
afterglow	लाला{सूर्यास्तकेबादकी}	N
afterlife	पुनर्जन्म; मृत्युकेबादकाजीवन	N
aftermath	परिणाम	N
afternoon	तीसरापहर	N
afters	खानेकेबादखायेजानेवालाफलमिठाई	N
aftershave	आफ्टरशेवलोशन	N
afterthought	उत्तरचिंतन	N
afterwards	तत्पश्चात	Adv
again	फिरसे; एकबारफिर; दुबारा; पुन:; लेकिनफिर	Adv
against	केविरुद्ध; केसहारे; सेअलग	Prep
agape	मुँहबाए{आश्चर्यसेमुँहखोलेहुए}	Adj
agate	सुलेमानीपत्थर	N
age	वय; उम्र; लम्बासमय; युग; युगों	N
age	उम्रबढ़ना; बड़ाहोजाना; पुरानाहोना	V
aged	वृद्ध	Adj
ageism	वृद्धोंकेप्रतिअनुचितव्यवहार	N
agency	संस्था {कर्तृत्व}	N
agenda	करनेवालीकार्यवाही	N
agent	प्रतिनिधि	N
agent provocateur	प्रतिनिधि{जो गलत कार्य करने वाले को	N
agglomeration	समूह {ढेर}	N
aggrandizement	शक्तिअथवापदवीबढाना	N
aggravate	उत्तेजितकरना; क्रोधितकरना	VT
aggravating	उत्तेजक	Adj
aggravation	उत्तेजना	N
aggregate	कुल	Adj
aggregate	पूर्णयोग	N
