ja	en	pos	common
お大事に	おだいじに	exp	1	take care of yourself; get well soon
お宅	おたく	n, pn	1	your house; your home; your family; your husband; your organization; you
お誕生日おめでとうございます	おたんじょうびおめでとうございます	exp	1	happy birthday
お知らせ	おしらせ	n	0	notice; notification
お茶	おちゃ	n, vs, vi	1	tea (esp. green or barley); tea break; teatime; tea ceremony
お猪口	おちょこ	n	0	sake cup
お喋り	おしゃべり	n, vs, vt, adj-na	1	chattering; talk; idle talk; chat; chitchat; gossip; chatty; talkative
お天気	おてんき	n	1	weather; mood; temper
お転婆	おてんば	n, adj-na	0	tomboy
お屠蘇	おとそ	n	0	New Year's sake; spiced sake
お土産	おみやげ	n	1	local specialty or souvenir bought as a gift while traveling (travelling); present brought by a visitor; something unpleasant that one is given (e.g. an illness while on vacation); unwelcome gift; disservice
お湯	おゆ	n	0	hot water; hot bath
お得	おとく	adj-na	1	good-value; economical; advantageous (price, deal, etc.); useful; helpful
お凸	おでこ	n	1	brow; forehead; prominent forehead; beetle brow; not catching anything
お婆ん	おばん	n	0	old maid; frump; hag; old woman
お疲れ様	おつかれさま	int	1	thank you (for your hard work); good work; see you; goodbye; goodnight
お付き	おつき	n	0	retainer; attendant; escort
お父さん	おとうさん	n, pn	1	father; dad; papa; pa; pop; daddy; dada; husband
お風呂に入る	おふろにはいる	exp, v5r	0	to take a bath; to have a bath; to take a shower
お腹	おなか	n	1	belly; abdomen; stomach
お別れ	おわかれ	n	0	parting; farewell
お返し	おかえし	n, vs, vt	1	return gift; return favour; revenge; change (in a cash transaction)
お母さん	おかあさん	n, pn	1	mother; mom; mum; ma; wife; you (of an elderly person older than the speaker); she; her
お母様	おかあさま	n	0	mother
お坊ちゃん	おぼっちゃん	n	0	son (of others); boy; young master; green young man from a well-to-do family; young man innocent of the ways of the world
お墨付き	おすみつき	n	1	certificate; certified document; authorization; authorisation; (the) thumbs up; seal of approval; paper with signature of the shogun or lord
お盆	おぼん	n	0	Obon; Bon Festival; Buddhist festival for honouring the spirits of one's ancestors, held in mid-August or in some regions, mid-July; tray
お餅	おもち	n	0	mochi; small rice cake made from glutinous rice
お冷	おひや	n	0	cold (drinking) water; (glass of) cold water; cold boiled rice
お漏らし	おもらし	n, vs, vi	0	wetting oneself; peeing in one's pants
お話中	おはなしちゅう	adj-no	1	busy (phone)
お碗	おわん	n	0	bowl (ceramic, porcelain)
お洒落	おしゃれ	adj-na, n, vs, vi	1	stylish; fashionable; trendy; chic; smartly dressed; careful about one's appearance; dressing (oneself) up; dressing smartly
畏まりました	かしこまりました	exp	1	certainly!; very well; with pleasure; understood!
かしら		prt	1	I wonder; do you think?; I might; how about; some kind; some stage; somehow; somewhere
悴む	かじかむ	v5m, vi	0	to grow numb with cold
梶木	かじき	n	0	marlin; swordfish; spearfish; sailfish
片口鰯	かたくちいわし	n	0	Japanese anchovy (Engraulis japonica)
カチカチ		adv-to, adv, adj-no, adj-na	1	ticktock; chinking (e.g. of a hammer against rock); knocking; clicking; clacking; clattering; dry and hard; (frozen) stiff
カチッと		adv, vs	0	with a click; with a clink; with a snap; firmly; tightly; compactly; precisely
カチン		adv-to, n	0	clink; clack; feeling annoyed; being offended; being hurt
かっか		vs, adv-to, adv	0	to burn hotly; to burn redly; to lose one's temper; to get mad; to be upset
格好つける	かっこうつける	v1, vi	0	to affect a stylish air; to try to look good; to show off
掻っ攫う	かっさらう	v5u, vt	0	to snatch (and run); to carry off; to swipe; to nab; to scoop up (and remove; sand, earth, etc.)
かっちり		adv, adv-to, vs	0	tightly; exactly; precisely; close-fitting (e.g. suit); firm (body); lean
カッと		adv, vs	1	flaring up; burning hotly; suddenly becoming bright; flying into a rage; losing one's cool; opening suddenly and widely (e.g. eyes, mouth); acting resolutely
カツカツ		adv, adj-no	0	barely; just; narrowly; with difficulty
かな		prt	1	I wonder; should I?; is it?; I wish that; I hope that
敵わない	かなわない	adj-i	1	no match for; cannot compete with; not in the same league as; powerless against; cannot stand; cannot bear; cannot put up with; unbearable
上さん	かみさん	n	0	(one's) wife; (someone's) wife; landlady
かも知れない	かもしれない	exp	1	may; might; perhaps; may be; possibly
かも知れません	かもしれません	exp	1	may; might; perhaps; may be; possibly
から		prt, conj	1	from; since; at; through (e.g. a window, door); via; by; from; because
揶揄い	からかい	n	0	teasing; banter; ribbing; jest; making fun (of); poking fun (at)
からから		adj-na, adj-no, adv, adv-to	0	parched; dried-up; bone-dry; empty; hollow; rattling; clattering; laughing loudly
絡繰り	からくり	n	0	mechanism; machinery; contrivance; device; trick; dodge; mechanical doll; string puppet
からっと		adv, vs	0	bright and clear (weather, sky, etc.); perfectly (fine weather); nicely dry (laundry, air, etc.); crisply (fried, cooked, etc.); frankly; open-heartedly
からと言って	からといって	exp	0	just because; even if; even though
からり		adv-to, adv	1	with a clatter; with a fling (opening a door, window, etc.); bright and clear (weather, sky, etc.); perfectly (fine weather); nicely dry (laundry, air, etc.); crisply (fried, cooked, etc.); cheerfully; frankly
か弱い	かよわい	adj-i	1	weak; feeble; delicate; frail; helpless
ガーッと		adv	0	with a grinding noise
ガクガク		adv, adv-to, adj-na, vs	0	trembling (with fear, cold, etc.); shaking; chattering (of teeth); coming loose; wobbling
がさがさ		adv, adv-to, vs, adj-na	1	rustling; dry; rough feeling; rough to the touch; rough (of a person); coarse; crude; unrefined
ガタガタ		adv, adv-to, vs, adj-no	1	rattling; clattering; trembling; shivering; quaking; wobbling; swaying; whining
ガチガチ		adv-to, adj-na, adj-no, adv	0	chattering (teeth); (frozen, worried) stiff; rigid (personality, thinking, etc.); inflexible; overly serious; voracious (e.g. work, study); without slack or pause
ガチャガチャ		adv, adv-to, adj-na, n	0	with a clatter; with a rattle; with a clank; persistently (complaining, etc.); annoyingly; (going) on and on; messy; cluttered
ガチャリ		adv, adv-to	0	with a clank
ガチャン		adv-to	0	with a slamming noise (e.g. door, telephone receiver); with a banging noise; with a clash; with a clank; with a bang
がちんがちん		n	0	tick-tock; chipping (sound)
がっかり		vs, adv	1	to be disappointed; to be dejected; to be downhearted; to be discouraged; to be disheartened; to lose heart; to feel let down; to feel exhausted
がっくり		adv, n, vs, adv-to	1	heartbroken; crestfallen; dejected; disappointed; feeling exhausted; feeling drained
がっしり		adv, adv-to, vs	1	firmly; solidly; sturdily; strongly; toughly
がっちり		adv, adv-to, vs	1	solid; robust; well-built; tight; taut; shrewd; calculating; astute
がっちり屋	がっちりや	n	0	tightwad; miser
がっぷり		adv, adv-to	0	firmly (grasped); latched onto; locked onto
ガツガツ		adv, adv-to, vs	0	hungrily; voraciously; ravenously; greedily; avariciously; eagerly; ardently
