ja	en	pos	common
縄文土器	じょうもんどき	n	0	straw rope-patterned ancient Japanese pottery
縄文時代	じょうもんじだい	n	0	Jōmon period (ca. 14000-1000 BCE)
縄付き	なわつき	n	0	criminal (bound by ropes); prisoner in bonds; being bound by ropes
縄抜け	なわぬけ	n, vs, vi	0	slipping one's bonds; escaping; flight
縄張り争い	なわばりあらそい	n	0	turf war
縄梯子	なわばしご	n	0	rope ladder
縄のれん	なわのれん	n	0	rope curtain; bar; pub
蠅地獄	ハエジゴク	n	0	Venus flytrap
蠅取り草	ハエトリグサ	n	0	Venus flytrap (Dionaea muscipula); Venus's flytrap
藤蔓	ふじづる	n	0	wisteria vine
子々孫々	ししそんそん	n	0	one's descendants; one's offspring; posterity
子午環	しごかん	n	0	meridian circle; transit circle
子方	こかた	n	0	child's role in noh dance; child actor (in noh); henchman; follower
子沢山	こだくさん	n, adj-no, adj-na	0	having many children
子供扱い	こどもあつかい	n, vs	0	treating someone like a child
子供服	こどもふく	n	0	children's clothing
子捕り	ことり	n	0	(game of) catch-the-child
子宮外妊娠	しきゅうがいにんしん	n	0	ectopic pregnancy
子宮後屈	しきゅうこうくつ	n	0	retroversion of the uterus; tipped uterus
子宮筋腫	しきゅうきんしゅ	n	0	fibroid; uterine myoma
子宮がん	しきゅうがん	n	0	uterine cancer
子株	こかぶ	n	0	new bulb; new root; new stock; new share; new stock
子連れ	こづれ	n	0	taking one's children along (to an event, into a new marriage, etc.); parent with child
小馬座	こうまざ	n	0	Equuleus (constellation); the Colt
子福者	こぶくしゃ	n	0	person blessed with many children
子癇	しかん	n	0	eclampsia
子嚢	しのう	n	0	ascus; seed pod
糸入り	いといり	n	0	silk or paper with cotton threads
糸目	いとめ	n	0	fine line; weight of thread; slit-eyed
糸印	いとじるし	n	0	thread to make seams conspicuous
糸竹	いとたけ	n	0	(musical) strings and bamboo
糸作り	いとづくり	n	0	thin strips of raw fish and squid
糸杉	いとすぎ	n	0	cypress (Cupressus sp.)
糸価	しか	n	0	price of silk thread
糸底	いとぞこ	n	0	bottom rim of earthenware cup
糸巻き	いとまき	n	0	spool (of thread); reel; bobbin; tuning peg
糸柳	いとやなぎ	n	0	weeping willow
糸姫	いとひめ	n	0	woman factory worker in weaving industry
糸桜	いとざくら	n	0	droopy-branch cherry tree
糸偏景気	いとへんけいき	n	0	textile boom
糸遊	いとゆう	n	0	shimmering of hot air
糸魚	いとよ	n	0	three-spined stickleback (Gasterosteus aculeatus)
糸とんぼ	いととんぼ	n	0	damselfly (Zygoptera spp.); demoiselle
糸操り	いとあやつり	n	0	marionette manipulation
糸鋸	いとのこ	n	0	fretsaw; coping saw; jigsaw
糸織り	いとおり	n	0	cloth woven from twisted silk yarn
糸繰り	いとくり	n	0	reel; spinner
思いの丈	おもいのたけ	exp, n	0	one's whole heart; everything one feels
思い出し笑い	おもいだしわらい	n, vs, vi	0	reminiscent smile; laughing at a memory; smiling to oneself as one recalls something pleasant or amusing
思弁哲学	しべんてつがく	n	0	speculative philosophy
思し召し	おぼしめし	n	0	thoughts; opinion; (one's) discretion; will (esp. of God); however much money you wish to give (as alms, a fee at a museum, etc.); fondness (for a significant other, etc.; often used teasingly); love; fancy
思いのほか	おもいのほか	adv, adj-no	0	unexpectedly; surprisingly
思い込み	おもいこみ	n	0	wrong impression; subjective impression; assumption; prejudice
思考力	しこうりょく	n	0	ability to think
思念	しねん	n, vs, vt	0	thought
思い者	おもいもの	n	0	sweetheart
思索的	しさくてき	adj-na	0	contemplative; meditative
思わせぶり	おもわせぶり	adj-na, n	0	significant; suggestive; insinuating; meaningful; words or behaviour that hints at a deeper meaning
思い通り	おもいどおり	adj-no, n	0	as one likes; as one wants; as one wishes; as one hopes; as one sees fit; to one's satisfaction
思いなしか	おもいなしか	exp, adv	0	it may be my imagination, but ...; I may be imagining things, but ...
思う壺	おもうつぼ	n	0	one's wishes; one's expectations; just as expected
思惑師	おもわくし	n	0	speculator
思惑違い	おもわくちがい	n	0	miscalculation; disappointment
思想界	しそうかい	n	0	world of ideas
思想家	しそうか	n	0	thinker
思想劇	しそうげき	n	0	play dealing with ideas
思想警察	しそうけいさつ	n	0	thought police
思う様	おもうさま	adv	0	to one's heart's content
思うまま	おもうまま	adv, n, adj-na	0	as one wishes; as one pleases; to one's heart's content
則天去私	そくてんきょし	n	0	selfless devotion to justice
側頭葉	そくとうよう	n	0	temporal lobe
測地学	そくちがく	n	0	geodesy
測地線	そくちせん	n	0	geodesic (line)
測地衛星	そくちえいせい	n	0	geodetic satellite
測定法	そくていほう	n	0	method of measurement
測深機	そくしんき	n	0	depth finder; sounder; bathymeter
測量船	そくりょうせん	n	0	survey ship
測程器	そくていき	n	0	(ship's) log
測微計	そくびけい	n	0	micrometer
測鉛	そくえん	n	0	sounding lead; plummet
即今	そっこん	n	0	at the moment
即日速達	そくじつそくたつ	n	0	same-day special delivery
即日開票	そくじつかいひょう	n	0	same-day counting of ballots
即行	そっこう	n, vs, vt, adv	0	immediately carrying out (a plan); right away; without delay; immediately
即身成仏	そくしんじょうぶつ	n, vs	0	attainment of Buddhahood during life
即位式	そくいしき	n	0	enthronement ceremony; coronation
即決裁判	そっけつさいばん	n	0	summary trial
即吟	そくぎん	n, vs, vt	0	improvisation (of a poem); improvization
即妙	そくみょう	adj-na, n	0	ready wit
即売会	そくばいかい	n	0	display and sale of new products
即効薬	そっこうやく	n	0	quick-acting remedy; fast-acting medicine
即夜	そくや	adv, n	0	on the same night
即席料理	そくせきりょうり	n, adj-no	0	quickly prepared meal or dish
即時払い	そくじばらい	n	0	spot payment
即納	そくのう	n, vs, vt, adj-no	0	prompt payment or delivery
即製	そくせい	n, vs, vt, adj-no	0	making on the spot
即諾	そくだく	n, vs, vt	0	ready consent
即興詩	そっきょうし	n	0	improvised poem
即興詩人	そっきょうしじん	n	0	improviser; The Improvisatore (1835 novel by Hans Christian Andersen)
即題	そくだい	n	0	subjects for improvisation; subjects for improvization
杯事	さかずきごと	n	0	pledge made over sake cups; exchange of nuptial cups
杯洗	はいせん	n	0	small vessel or bowl in which sake cups are rinsed
富士五湖	ふじごこ	n	0	the Five Lakes of Mt. Fuji
富士壺	ふじつぼ	n	0	acorn barnacle (Balanomorpha spp.)
富士絹	ふじぎぬ	n	0	Fuji silk
富士額	ふじびたい	n	0	widow's peak; hairline that grows to a point in the middle of the forehead
富札	とみふだ	n	0	lottery ticket
富嶽	ふがく	n	0	Mount Fuji
富国	ふこく	n	0	rich country; national enrichment
富国強兵	ふこくきょうへい	n	0	enrich the country, strengthen the army
富家	ふうか	n	0	wealthy family
富裕税	ふゆうぜい	n	0	wealth tax; capital tax; equity tax
富くじ	とみくじ	n	0	lottery run by a temple or shrine
福耳	ふくみみ	n	0	plump ears (large, fleshy earlobes), said to bring good fortune
福寿	ふくじゅ	n	0	long life and happiness
福寿草	ふくじゅそう	n	0	pheasant's eye (species of buttercup, Adonis ramosa)
福助	ふくすけ	n	1	large-headed dwarf statue, bringer of good luck
福利厚生	ふくりこうせい	n	1	employee welfare; employee benefits; fringe benefits
福祉事務所	ふくしじむしょ	n	0	welfare office; social security office
福相	ふくそう	adj-na, n	0	happy-looking
福神漬	ふくじんづけ	n	0	sliced vegetables pickled in soy sauce
福音書	ふくいんしょ	n	0	the Gospels
福音教会	ふくいんきょうかい	n	0	Evangelical Church
福禄寿	ふくろくじゅ	n	0	Fukurokuju; god of happiness, prosperity and long life
福運	ふくうん	n	0	happiness and good fortune
福々しい	ふくぶくしい	adj-i	0	(plump and) happy-looking
菩提心	ぼだいしん	n	0	aspiration for Buddhahood
菩提寺	ぼだいじ	n	0	one's family temple; temple with one's family grave
ほうじ茶	ほうじちゃ	n	0	roasted green tea
鄙歌	ひなうた	n	0	folk song
揺曳	ようえい	n, vs, vi	0	flutter; linger
揺籃の地	ようらんのち	n	0	birthplace
遊び女	あそびめ	n	0	prostitute
遊休施設	ゆうきゅうしせつ	n	0	unused facilities or equipment
遊び仲間	あそびなかま	n	0	playmate
遊行	ゆうこう	n, vs	0	gadding around; gallivanting; tour; wandering; walking aimlessly
遊技	ゆうぎ	n	0	game; sport
遊技場	ゆうぎじょう	n	0	amusement center (centre); game arcade; gambling hall
遊吟	ゆうぎん	n, vs, vi	0	reciting or composing poetry while walking about
遊君	ゆうくん	n	0	prostitute
遊び車	あそびぐるま	n	0	idle pulley
遊泳術	ゆうえいじゅつ	exp, n	0	how to get along in the world; how to get on in life; how to swim
遊歩	ゆうほ	n, vs, vi	1	walk; promenade
遊牧民	ゆうぼくみん	n	0	nomad
遊金	ゆうきん	n	0	idle money; idle capital
遊侠	ゆうきょう	n	0	chivalrous person
遊軍記者	ゆうぐんきしゃ	n	0	roving reporter
遊客	ゆうかく	n	0	sightseer; playboy; loafer; slacker; frequenter of red-light districts
遊び時間	あそびじかん	n	0	playtime; recess
遊動円木	ゆうどうえんぼく	n	0	swinging log; horizontal bar
遊猟	ゆうりょう	n, vs, vi	0	hunting
遊惰	ゆうだ	adj-na, n	0	indolence
遊資	ゆうし	n	0	idle funds; idle capital
遊歴	ゆうれき	n, vs, vi, adj-no	0	tour
遊撃隊	ゆうげきたい	n	0	commando unit
遊蕩児	ゆうとうじ	n	0	debauched person
遊戯的	ゆうぎてき	adj-na	0	playful
遊興税	ゆうきょうぜい	n	0	entertainment tax
遊興費	ゆうきょうひ	n	0	entertainment expenses
遊覧地	ゆうらんち	n	0	resort
遊覧客	ゆうらんきゃく	n	0	sightseer; tourist
遊離基反応	ゆうりきはんのう	n	0	reaction of free radicals
農夫症	のうふしょう	n	0	farmer's syndrome; peasant syndrome
農民一揆	のうみんいっき	n	0	agrarian revolt; agrarian uprising
農民文学	のうみんぶんがく	n	0	peasant literature
農民運動	のうみんうんどう	n	0	agrarian movement
農本主義	のうほんしゅぎ	n	0	principles underpinning an agriculturally based economy
農会	のうかい	n	0	agricultural association
農地改革	のうちかいかく	n	1	agrarian reform
農地法	のうちほう	n	0	Agricultural Land Act
農地委員会	のうちいいんかい	n	0	agricultural land commission
農作	のうさく	n	0	farming
農作物	のうさくぶつ	n	1	crops; agricultural produce
農兵	のうへい	n	0	(army unit of) conscripted farmers
農芸	のうげい	n	0	agriculture and horticulture
農芸化学	のうげいかがく	n, adj-no	0	agricultural chemistry
農村工業	のうそんこうぎょう	n	0	rural industry
農事	のうじ	n, adj-no	0	farming; agriculture
農事試験場	のうじしけんじょう	n	0	agricultural experiment station
農法	のうほう	n	1	farming methods
農林水産省	のうりんすいさんしょう	n	0	Ministry of Agriculture, Forestry and Fisheries; MAFF
農牧	のうぼく	n	0	raising crops and livestock
農牧地	のうぼくち	n	0	arable and grazing land
農相	のうしょう	n	1	Minister of Agriculture
農科	のうか	n	0	agricultural course; agricultural department
農耕民族	のうこうみんぞく	n	0	agricultural people
農婦	のうふ	n	0	female farmworker; woman working on a farm; farm woman
農務	のうむ	n	0	agricultural affairs
農期	のうき	n	0	farming season
農道	のうどう	n	0	farm road
農業国	のうぎょうこく	n	0	agricultural country; agrarian nation
農業協同組合	のうぎょうきょうどうくみあい	n	1	agricultural cooperative
農業試験場	のうぎょうしけんじょう	n	0	agricultural experiment station
農機具	のうきぐ	n	0	agricultural machinery and equipment
濃化	のうか	n, vs	0	thicken; concentrate
濃度計	のうどけい	n	0	densitometer
膿汁	のうじゅう	n	0	pus
膿胸	のうきょう	n, adj-no	0	pyothorax
柔軟体操	じゅうなんたいそう	n	0	calisthenics
肉入れ	にくいれ	n	0	ink-pad case
肉切り包丁	にくきりぼうちょう	n	0	carving knife; butcher's knife; cleaver; meat chopper
肉付き	にくづき	n	0	bodily build; degree of fleshiness
肉付け	にくづけ	n, vs, vt, vi	0	fleshing out (e.g. a plan); giving substance to; modeling; modelling
肉用種	にくようしゅ	n	0	animal bred for its meat
肉池	にくち	n	0	stamp pad holder
肉体労働	にくたいろうどう	n	0	manual or physical labor; manual or physical labour
肉体的	にくたいてき	adj-na	1	bodily; physical; corporeal; sexual; sensual; of the flesh
肉芽	にくが	n	0	granulation; granulation tissue; proud flesh; bulbil; vagina; pussy
肉的	にくてき	adj-na	0	physical; fleshly; corporal
肉界	にくかい	n	0	physical or sensual world
肉食獣	にくしょくじゅう	n	0	carnivore; carnivorous animal
肉細	にくぼそ	adj-na, n	0	lightfaced (type)
肉弾	にくだん	n	0	suicide attacker
肉弾戦	にくだんせん	n	0	warfare in which soldiers fling themselves at the enemy; hand-to hand combat
肉感	にっかん	n	0	sexual feeling; carnal desire; physical feeling
肉感的	にっかんてき	adj-na	0	sensual; sexy; voluptuous
肉質	にくしつ	n, adj-no	0	fleshiness; meat quality
肉鍋	にくなべ	n	0	meat-based hot pot; pan or pot for cooking meat
肉襦袢	にくじゅばん	n	0	flesh-colored leotards; flesh-coloured leotards
擾乱	じょうらん	n, vs, vt, vi	0	disturbance
紐付き融資	ひもつきゆうし	n	0	tied loan
紐革	ひもかわ	n	0	strap; thong
紐革饂飩	ひもかわうどん	n	0	flat noodles
復水器	ふくすいき	n	0	condenser
復古主義	ふっこしゅぎ	n	0	reactionism
復古調	ふっこちょう	n	0	reactionary tendency; revivalist mood; tendency to revert to old customs
復旧作業	ふっきゅうさぎょう	n	0	repair work; restoration work
復交	ふっこう	n, vs	0	restoration of diplomatic relations
復位	ふくい	n, vs	0	restoration; reinstatement
復学	ふくがく	n, vs, vi	0	return to school
復活祭	ふっかつさい	n	0	Easter
復員	ふくいん	n, vs, vt, vi	1	demobilization; demobilisation; repatriation
復党	ふくとう	n, vs, vi	1	rejoining a political party
復航	ふっこう	n, vs, vi	0	return flight; return voyage; homeward journey
復配	ふくはい	n, vs, vi	0	resumption of dividends
復業	ふくぎょう	n, vs	0	returning to work
復縁	ふくえん	n, vs, vi	0	reconciliation (with one's spouse, adopted child, etc.)
復籍	ふくせき	n, vs, vi	0	returning to one's original family register; being reinstated in one's original family register; reenrollment (in a school); reenrolment
複十字	ふくじゅうじ	n	0	double-crosspiece cross (symbol for tuberculosis prevention)
複文	ふくぶん	n	0	complex sentence; sentence with an independent clause and at least one dependent clause
複方	ふくほう	n	0	compound drug
複本位	ふくほんい	n	0	double standard
複本位制	ふくほんいせい	n	0	bimetallism
複写紙	ふくしゃし	n	0	copying paper
複写機	ふくしゃき	n	0	photocopier; photocopying machine
複比例	ふくひれい	n	0	compound proportion
複合企業	ふくごうきぎょう	n, adj-no	0	conglomerate; group of companies run as a single organization
複合汚染	ふくごうおせん	n	0	multiple contamination
複式火山	ふくしきかざん	n	0	composite volcano
複式学級	ふくしきがっきゅう	n	0	class that combines students of two or more grade levels; combined class
複式簿記	ふくしきぼき	n	0	double-entry bookkeeping
福利表	ふくりひょう	n	0	compound interest table
複利法	ふくりほう	n	0	compound interest method
複音	ふくおん	n	0	compound note (on a harmonica)
複座	ふくざ	n	0	two-seater (e.g. aircraft)
複座機	ふくざき	n	0	two-seater aeroplane; two-seater airplane
複葉	ふくよう	n	0	compound leaf; multifoliate leaf; biplane (aircraft)
複勝	ふくしょう	n	0	placing bets
複々線	ふくふくせん	n	0	four-track rail line (two in each direction); quadruple railway track
複雑怪奇	ふくざつかいき	adj-na, n	0	complicated and mysterious
複雑骨折	ふくざつこっせつ	n	0	compound fracture; complex fracture
複線	ふくせん	n	0	double track; two-track line
報知機	ほうちき	adj-na	0	alarm
報国	ほうこく	n	0	patriotism
報道写真	ほうどうしゃしん	n	0	news photograph
報奨金	ほうしょうきん	n	1	cash bonus; reward; bounty
報償金	ほうしょうきん	n	0	compensation
報謝	ほうしゃ	n, vs, vi	0	requital of a favor; repaying a favor; remuneration; giving alms (to a priest or pilgrim)
弱化	じゃっか	n, vs, vt, vi	0	weakening
弱含み	よわふくみ	n	0	bearish tendency; weak tone (of a market)
弱電	じゃくでん	n	0	weak electric current
弱酸	じゃくさん	n	0	weak acid
溺死体	できしたい	n	0	drowned body
溺死者	できししゃ	n	0	drowned person
脳外科	のうげか	n	0	brain surgery
脳充血	のうじゅうけつ	n	0	brain congestion
脳室	のうしつ	n, adj-no	0	cerebral ventricle
脳神経	のうしんけい	n	0	cranial nerves; cerebral nerves
脳性小児麻痺	のうせいしょうにまひ	n	0	cerebral palsy
脳性麻痺	のうせいまひ	n	0	cerebral palsy
脳震盪	のうしんとう	n	0	concussion (of the brain)
脳挫傷	のうざしょう	n	0	cerebral contusion
脳梅毒	のうばいどく	n	0	cerebral syphilis
脳脊髄液	のうせきずいえき	n	0	cerebrospinal fluid
脳脊髄膜炎	のうせきずいまくえん	n	0	cerebrospinal meningitis
脳病	のうびょう	n	0	brain disease
脳症	のうしょう	n	0	encephalopathy
脳軟化症	のうなんかしょう	n	0	encephalomalacia; cerebromalacia; cerebral softening; softening of the brain
脳腫瘍	のうしゅよう	n	0	brain tumor; brain tumour
脳幹	のうかん	n	0	brain stem
脳膜	のうまく	n	0	meninges
脳膜炎	のうまくえん	n	0	meningitis
脳漿	のうしょう	n	0	spinal fluid; cerebrospinal fluid; brains; intelligence
饒舌家	じょうぜつか	n	0	talkative person; chatterbox
尿素樹脂	にょうそじゅし	n	0	urea resin
尿検査	にょうけんさ	n	0	urine analysis; urinalysis
尿道炎	にょうどうえん	n	0	urethritis; inflammation of the urethra
尿意	にょうい	n	0	urge to urinate
尿路	にょうろ	n	0	urinary tract
尿器	にょうき	n	0	urinal
獄中日記	ごくちゅうにっき	n	0	prison diary
獄卒	ごくそつ	n	0	low-ranking prison guard; hell's tormenting devils
獄門	ごくもん	n	0	prison gate; decapitation (of a criminal) and exposure of the head to public view (Edo-period punishment)
獄屋	ごくや	n	0	prison
獄窓	ごくそう	n	0	prison window; (behind) prison bars
玉子丼	たまごどんぶり	n	0	bowl of rice topped with egg
玉手箱	たまてばこ	n	0	Urashima's casket (in the story of Urashima Tarō); Pandora's box; one's closely guarded treasure
玉の汗	たまのあせ	exp, n	0	beads of sweat
玉串	たまぐし	n	0	branch of a sacred tree (esp. sakaki) with paper or cotton strips attached (used as an offering); sakaki (species of evergreen sacred to Shinto, Cleyera japonica)
玉体	ぎょくたい	n	0	the Emperor's person or presence
玉杯	ぎょくはい	n	0	jade cup; sake cup
玉垣	たまがき	n	0	fence around a shrine
玉屋	たまや	n	0	jeweler; soap bubble vendor
玉音	ぎょくおん	n	0	the Emperor's voice; beautiful voice; beautiful sound
玉将	ぎょくしょう	n	0	king (of the junior player)
玉菜	たまな	n	0	cabbage
玉軸受	たまじくうけ	n	0	ball bearing
玉の緒	たまのお	n	0	bead string; thread of life
玉鴫	たましぎ	n	0	painted snipe (Rostratula benghalensis)
玉髄	ぎょくずい	n	0	chalcedony
玉藻	たまも	n	0	seaweed
愚民政策	ぐみんせいさく	n	0	obscurantist policy; keep-the-people-ignorant policy
愚兄	ぐけい	n	0	(one's) older brother; foolish older brother
愚考	ぐこう	n, vs, vt, vi	0	foolish thought; (one's own) thought; (one's own) idea
愚作	ぐさく	n	0	poor piece of work; rubbish; one of my works
愚弟	ぐてい	n	0	(one's) younger brother; foolish younger brother
愚図	ぐず	n, adj-na	0	dullard; indecisive person
愚見	ぐけん	n	0	(one's) humble opinion
愚者	ぐしゃ	n	0	fool; nitwit; The Fool (Tarot card)
愚か者	おろかもの	n	0	fool
愚物	ぐぶつ	n	0	fool
愚策	ぐさく	n	0	stupid plan; inane way of doing something; (one's own) plan; project
愚僧	ぐそう	n, pn	0	silly monk; foolish monk; I; me
愚意	ぐい	n	0	(one's) humble opinion
愚説	ぐせつ	n	0	foolish opinion; idiotic view; one's (humble) opinion
愚論	ぐろん	n	0	foolish argument or view
暑中休暇	しょちゅうきゅうか	n	0	summer vacation
暑さしのぎ	あつさしのぎ	n	0	relief from the heat
曙光	しょこう	n	0	dawn; daybreak; first light of day; first indication; glimpse; gleam; flash; prospects
煮方	にかた	n	0	way of cooking; a cook
煮出し汁	にだしじる	n	0	(soup) stock; broth
煮付け	につけ	n	0	vegetables or fish boiled in soy sauce
煮汁	にじる	n	0	broth
煮売り屋	にうりや	n	0	store selling boiled vegetables, fish, etc. (Edo period); boiled-food vendor (Edo period)
煮沸消毒	しゃふつしょうどく	n	0	sterilization by boiling; sterilisation by boiling
煮崩れ	にくずれ	n, vs, vi	0	falling apart while cooking
煮魚	にざかな	n	0	fish simmered with soy sauce (and sugar)
煮こごり	にこごり	n	0	jellied fish broth; jellied meat broth
赤十字条約	せきじゅうじじょうやく	n	0	Red Cross Convention
赤ゲット	あかゲット	n	0	red blanket; country bumpkin
赤切符	あかぎっぷ	n	0	red traffic violation ticket (designating a serious violation); third-class ticket
赤手	せきしゅ	n	0	bare handed
赤心	せきしん	n	0	sincerity; true heart; devotion
赤だし	あかだし	n	0	soup made with red miso paste; red miso soup
赤本	あかほん	n	0	pulp fiction; dime novel; akahon; university entrance exam workbook (published by Kyōgakusha); storybook (with red cover, Edo period); Red Guide (Michelin)
赤の他人	あかのたにん	exp, n	0	complete stranger; total stranger
赤外線写真	せきがいせんしゃしん	n	0	infrared photography
赤字財政	あかじざいせい	n	0	deficit financing
赤立羽蝶	あかたてはちょう	n	0	red admiral (butterfly)
赤目	あかめ	n	0	red eyes; bloodshot eyes; red-eye; red mullet (Chelon haematocheilus); facial gesture of pulling one's eyelid down and sticking out one's tongue
赤地	あかじ	n	0	red cloth; red background
赤血球沈降速度	せっけっきゅうちんこうそくど	n	0	erythrocyte sedimentation rate; ESR
赤虫	あかむし	n	0	bloodworm (Halla okudai); red mite (Trombicula akamushi); chigger mite; harvest mite
赤身	あかみ	n, adj-no	0	red flesh (of a fish); red-fleshed fish (e.g. tuna); lean meat; heartwood
赤沈	せきちん	n	0	erythrocyte sedimentation rate; ESR
赤味噌	あかみそ	n	0	dark-brown miso paste
赤茄子	あかなす	n	0	Chinese scarlet eggplant (Solanum integrifolium); tomato-fruit eggplant; tomato (Solanum lycopersicum)
赤松	あかまつ	n	1	Japanese red pine (Pinus densiflora); Japanese umbrella pine; tanyosho pine
赤門	あかもん	n	0	red gate (esp. at Tokyo University)
赤海亀	あかうみがめ	n	0	loggerhead turtle (Caretta caretta)
赤面	あかつら	n	0	red face; villain (in kabuki, jōruri, etc.)
赤面恐怖症	せきめんきょうふしょう	n	0	erythrophobia; fear of blushing
赤砂糖	あかざとう	n	0	brown sugar; unrefined brown sugar
赤剥け	あかむけ	n	0	scraped skin; graze; grazed skin
赤啄木鳥	あかげら	n	0	great spotted woodpecker (Dendrocopos major)
赤黒い	あかぐろい	adj-i	0	dark red; dark brown; reddish brown
赤葡萄酒	あかぶどうしゅ	n	0	red wine
赤蛙	あかがえる	n	0	any brown or reddish-brown frog of the family Ranidae; Japanese brown frog (Rana japonica)
赤道気団	せきどうきだん	n	0	equatorial air mass
赤道祭	せきどうさい	n	0	ceremony to celebrate crossing the equator
赤道儀	せきどうぎ	n	0	equatorial telescope
赤靴	あかぐつ	n	0	starry handfish (Halieutaea stellata)
赤腹	あかはら	n	0	brown-headed thrush (Turdus chrysolaus); Japanese dace (Tribolodon hakonensis); Japanese fire belly newt (Cynops pyrrhogaster); dysentery
赤禍	せっか	n	0	the Red Peril
赤新聞	あかしんぶん	n	0	scandal sheet; gutter press; yellow press
赤誠	せきせい	n	0	sincerity; true heart; devotion
赤鉄鉱	せきてっこう	n	0	hematite
赤電車	あかでんしゃ	n	0	last train (of the day)
赤とんぼ	あかとんぼ	n	0	(small) red dragonfly; darter (any dragonfly of genus Sympetrum, esp. the autumn darter, Sympetrum frequens); meadowhawk
赤銅色	しゃくどういろ	n, adj-no	0	brown; tan
赤樫	あかがし	n	0	Japanese evergreen oak (Quercus acuta)
赤錆	あかさび	n	0	red rust
赤リン	せきりん	n	0	red phosphorus
赤鰯	あかいわし	n	0	pickled sardines; dried sardines; red sardines; rusty and blunt sword
赭土	しゃど	n	0	red ocher (ochre)
赭顔	しゃがん	n	0	ruddy face
庶民金融	しょみんきんゆう	n	0	loans for low-income people
庶流	しょりゅう	n	0	illegitimate family lineage
妬心	としん	n	0	jealousy
娼家	しょうか	n	0	brothel
菖蒲湯	しょうぶゆ	n	0	bathwater with iris leaves; sweet-flag bath
陽性反応	ようせいはんのう	n	0	positive reaction
陽動作戦	ようどうさくせん	n	0	diversionary tactics
陽転	ようてん	n, vs, vi	0	positive reaction (to medical test)
陽報	ようほう	n	0	open reward (for anonymous act of charity)
陽極線	ようきょくせん	n	0	anode ray; positive ray; canal ray
護身術	ごしんじゅつ	n	0	art of self-defense (defence)
護法	ごほう	n	0	defence of Buddhist doctrines; god who defends Buddhist doctrines; defence of the constitution; religious power to dispel demons and diseases
護岸工事	ごがんこうじ	n	0	levee protection works
護国神社	ごこくじんじゃ	n	0	shrine honoring war dead; shrine honouring war dead
護送車	ごそうしゃ	n	0	police van; paddy wagon; prisoner transport vehicle
護送船	ごそうせん	n	0	escort ship
護摩の灰	ごまのはい	n	0	thief posing as fellow traveller (traveler)
護衛兵	ごえいへい	n	0	body guard; military escort
護憲運動	ごけんうんどう	n	0	movement to defend the Constitution
生き人形	いきにんぎょう	n	0	lifelike life-sized doll (made in the late Edo and Meiji periods); doll-like beauty
生干し	なまぼし	adj-no, n, vs, vt	0	half-dried; partially dried
生爪	なまづめ	n	0	fingernail
生き仏	いきぼとけ	n	0	living Buddha; saintly Buddhist monk; living person
生木	なまき	n	0	live tree; green wood; unseasoned wood
生半可	なまはんか	adj-na, n	0	superficial; half-hearted; shallow
生々	せいせい	adj-t, adv-to, n, vs	0	lively; vivid; vigorous; fresh; being born and raised; growing up
生存権	せいぞんけん	n	0	right to life
生存競争	せいぞんきょうそう	n	0	struggle for existence
生皮	なまかわ	n	0	rawhide
生き写し	いきうつし	n	0	spitting image; dead ringer; exact resemblance
生まれたて	うまれたて	adj-no, n	0	newborn; newly born
生き死に	いきしに	n	0	life and death; life or death
生肉	せいにく	n	0	raw meat; fresh meat
生色	せいしょく	n	0	healthy complexion
生き地獄	いきじごく	n	0	hell on earth; living hell
生い先	おいさき	n	0	one's future
生成り	きなり	n, adj-na, adj-no	0	unbleached cloth; unbleached colour (color); unbleached; undyed
生成文法	せいせいぶんぽう	n	0	generative grammar
生血	なまち	n	0	fresh blood; lifeblood
生米	なまごめ	n	0	uncooked rice
生き身	いきみ	n	0	living body; flesh and blood; fresh fish
生き体	いきたい	n	0	still having slim chances of victory
生体工学	せいたいこうがく	n	0	bionics
生体学	せいたいがく	n	0	somatology
生体膜	せいたいまく	n	0	biological membrane; biomembrane
活け造り	いけづくり	n	0	sashimi prepared from live fish, arranged in its original shape; fresh sashimi
生き別れ	いきわかれ	n	0	lifelong separation
生兵法	なまびょうほう	n	0	crude tactics; smattering of knowledge
生没年	せいぼつねん	n	0	years of (someone's) birth and death
生命力	せいめいりょく	n	1	vitality; (one's) life force
生命線	せいめいせん	n	0	lifeline; matter of life or death; indispensable thing; life line (in palm reading)
生国	しょうごく	n	0	one's native country; land of one's birth
生物化学兵器	せいぶつかがくへいき	n	0	biological and chemical weapons
生物地理学	せいぶつちりがく	n	0	biogeography; biological geography
生物物理学	せいぶつぶつりがく	n	0	biophysics
生物界	せいぶつかい	n	0	life
生物濃縮	せいぶつのうしゅく	n	0	biological concentration
生首	なまくび	n	0	freshly severed head
生活力	せいかつりょく	n	0	vitality; ability to earn a living
生活反応	せいかつはんのう	n	0	vital reaction
生活水準	せいかつすいじゅん	n	0	standard of living
生活苦	せいかつく	n	0	hardships of life (esp. due to lack of money); life's struggles
生活保護	せいかつほご	n	0	livelihood protection; public assistance; welfare
生活保護法	せいかつほごほう	n	0	Public Assistance Act
生活圏	せいかつけん	n	0	one's daily milieu; neighbourhood; neighborhood; zone of life; sphere of life
生活様式	せいかつようしき	n	0	one's lifestyle
生茹で	なまゆで	n	0	half-boiled; insufficiently boiled; underdone
生面	せいめん	n	0	new field
生き胆	いきぎも	n	0	liver taken from a living animal
