来	come; due; next; cause	らい・たい	く.る・きた.る・きた.す・き.たす・き.たる・き・こ	N5	2	7
汽	vapor; steam	き		N1	2	7
社	company; firm; office; association	しゃ	やしろ	N4	2	7
角	angle; corner; square; horn	かく	かど・つの	N2	2	7
言	say; word	げん・ごん	い.う・こと	N4	2	7
谷	valley	こく	たに・きわ.まる	N2	2	7
走	run	そう	はし.る	N4	2	7
近	near; early; akin; tantamount	きん・こん	ちか.い	N4	2	7
里	ri; village; parent's home; league	り	さと		2	7
麦	barley; wheat	ばく	むぎ	N2	2	7
京	capital; 10**16	きょう・けい・きん	みやこ	N4	2	8
国	country	こく	くに	N5	2	8
夜	night; evening	や	よ・よる	N4	2	8
妹	younger sister	まい	いもうと	N4	2	8
姉	elder sister	し	あね・はは	N4	2	8
岩	boulder; rock; cliff	がん	いわ	N2	2	8
店	store; shop	てん	みせ・たな	N4	2	8
明	bright; light	めい・みょう・みん	あ.かり・あか.るい・あか.るむ・あか.らむ・あき.らか・あ.ける・-あ.け・あ.く・あ.くる・あ.かす	N4	2	8
東	east	とう	ひがし	N5	2	8
歩	walk; counter for steps	ほ・ぶ・ふ	ある.く・あゆ.む	N4	2	8
画	brush-stroke; picture	が・かく・え・かい	えが.く・かく.する・かぎ.る・はかりごと・はか.る	N4	2	8
直	straightaway; honesty; frankness; fix	ちょく・じき・じか	ただ.ちに・なお.す・-なお.す・なお.る・なお.き・す.ぐ	N3	2	8
知	know; wisdom	ち	し.る・し.らせる	N4	2	8
長	long; leader; superior; senior	ちょう	なが.い・おさ	N5	2	8
門	gate; counter for cannons	もん	かど・と	N2	2	8
前	in front; before	ぜん	まえ・-まえ	N5	2	9
南	south	なん・な	みなみ	N5	2	9
室	room; apartment; chamber; greenhouse	しつ	むろ	N4	2	9
後	behind; back; later	ご・こう	のち・うし.ろ・うしろ・あと・おく.れる	N5	2	9
思	think	し	おも.う・おもえら.く・おぼ.す	N4	2	9
星	star; spot; dot; mark	せい・しょう	ほし・-ぼし	N2	2	9
春	springtime; spring (season)	しゅん	はる	N4	2	9
昼	daytime; noon	ちゅう	ひる	N4	2	9
活	lively; resuscitation; being helped; living	かつ	い.きる・い.かす・い.ける	N3	2	9
海	sea; ocean	かい	うみ	N4	2	9
点	spot; point; mark; speck	てん	つ.ける・つ.く・た.てる・さ.す・とぼ.す・とも.す・ぼち	N3	2	9
秋	autumn	しゅう	あき・とき	N4	2	9
科	department; course; section	か		N3	2	9
茶	tea	ちゃ・さ		N4	2	9
計	plot; plan; scheme; measure	けい	はか.る・はか.らう	N4	2	9
風	wind; air; style; manner	ふう・ふ	かぜ・かざ-・-かぜ	N4	2	9
食	eat; food	しょく・じき	く.う・く.らう・た.べる・は.む	N5	2	9
